12/2/2020 5:30:09 PM	DC:FE:18:D7:65:3E	"TP-Link Technologies Ltd"	"TP-LINK_653E"	-86	15		"Ch 1 [2.412 GHz]"	""	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:A6:CA:55:D9:20	"Cisco Systems Inc."	"eduroam"	-78	15		"Ch 11 [2.462 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:A6:CA:44:71:A1	"Cisco Systems Inc."	"TUvisitor"	-79	25		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:3A:7D:34:EA:32	"Cisco Systems Inc."	"tudelft-dastud"	-79	25		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:A6:CA:66:AF:B0	"Cisco Systems Inc."	"eduroam"	-74	35		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:A6:CA:66:AF:B1	"Cisco Systems Inc."	"TUvisitor"	-70	35		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	84:3D:C6:C7:BB:75	"Cisco Systems Inc."	"Delft Free Wifi"	-77	35		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:3A:7D:27:B6:45	"Cisco Systems Inc."	"Delft Free Wifi"	-74	35		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	84:3D:C6:C7:BB:76	"Cisco Systems Inc."	"Guest Centre"	-77	35		"Ch 1 [2.412 GHz]"	"0 Stations, A-08-0-019, 0 Clients"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:3A:7D:27:B6:41	"Cisco Systems Inc."	"TUvisitor"	-75	35		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:3A:7D:27:B6:42	"Cisco Systems Inc."	"tudelft-dastud"	-78	35		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:A6:CA:66:AF:B2	"Cisco Systems Inc."	"tudelft-dastud"	-77	35		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:09 PM	00:A6:CA:44:71:A5	"Cisco Systems Inc."	"Delft Free Wifi"	-74	35		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:61:F6:00	"Cisco Systems Inc."	"eduroam"	-77	35		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:61:F6:01	"Cisco Systems Inc."	"TUvisitor"	-76	35		"Ch 6 [2.437 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:44:71:A2	"Cisco Systems Inc."	"tudelft-dastud"	-79	35		"Ch 1 [2.412 GHz]"	"0 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	84:3D:C6:BD:4D:A1	"Cisco Systems Inc."	"TUvisitor"	-75	45		"Ch 6 [2.437 GHz]"	"2 Stations"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
12/2/2020 5:30:10 PM	00:A6:CA:66:AC:D5	"Cisco Systems Inc."	"Delft Free Wifi"	-76	45		"Ch 1 [2.412 GHz]"	"1 Station"	"WLAN [Realtek RTL8723BE Wireless LAN 802.11n PCI-E NIC]"
